month,vehicle_type,number
2012-01,Cars,593555
2012-01,Rental cars,13970
2012-01,Taxis,27059
2012-01,Buses,17037
2012-01,Goods & other vehicles,159854
2012-01,Motorcycles,146388
2012-02,Cars,594925
2012-02,Rental cars,14033
2012-02,Taxis,27163
2012-02,Buses,17076
2012-02,Goods & other vehicles,160105
2012-02,Motorcycles,146397
2012-03,Cars,596098
2012-03,Rental cars,14164
2012-03,Taxis,27266
2012-03,Buses,17093
2012-03,Goods & other vehicles,160223
2012-03,Motorcycles,146316
2012-04,Cars,597000
2012-04,Rental cars,14250
2012-04,Taxis,27618
2012-04,Buses,17144
2012-04,Goods & other vehicles,160394
2012-04,Motorcycles,146024
2012-05,Cars,598018
2012-05,Rental cars,14312
2012-05,Taxis,27733
2012-05,Buses,17154
2012-05,Goods & other vehicles,160441
2012-05,Motorcycles,145963
2012-06,Cars,599493
2012-06,Rental cars,14349
2012-06,Taxis,27849
2012-06,Buses,17190
2012-06,Goods & other vehicles,160492
2012-06,Motorcycles,145819
2012-07,Cars,600598
2012-07,Rental cars,14430
2012-07,Taxis,28101
2012-07,Buses,17217
2012-07,Goods & other vehicles,160580
2012-07,Motorcycles,145605
2012-08,Cars,601298
2012-08,Rental cars,14540
2012-08,Taxis,28176
2012-08,Buses,17214
2012-08,Goods & other vehicles,160555
2012-08,Motorcycles,145388
2012-09,Cars,602481
2012-09,Rental cars,14585
2012-09,Taxis,28364
2012-09,Buses,17238
2012-09,Goods & other vehicles,160551
2012-09,Motorcycles,144923
2012-10,Cars,603460
2012-10,Rental cars,14664
2012-10,Taxis,28243
2012-10,Buses,17241
2012-10,Goods & other vehicles,160440
2012-10,Motorcycles,144588
2012-11,Cars,604311
2012-11,Rental cars,14784
2012-11,Taxis,28187
2012-11,Buses,17223
2012-11,Goods & other vehicles,160423
2012-11,Motorcycles,144332
2012-12,Cars,605149
2012-12,Rental cars,14862
2012-12,Taxis,28210
2012-12,Buses,17162
2012-12,Goods & other vehicles,160417
2012-12,Motorcycles,144110
2013-01,Cars,605947
2013-01,Rental cars,14915
2013-01,Taxis,28297
2013-01,Buses,17182
2013-01,Goods & other vehicles,160278
2013-01,Motorcycles,143681
2013-02,Cars,605961
2013-02,Rental cars,14990
2013-02,Taxis,28245
2013-02,Buses,17226
2013-02,Goods & other vehicles,160099
2013-02,Motorcycles,143596
2013-03,Cars,606026
2013-03,Rental cars,15046
2013-03,Taxis,28075
2013-03,Buses,17244
2013-03,Goods & other vehicles,159913
2013-03,Motorcycles,143424
2013-04,Cars,605754
2013-04,Rental cars,15164
2013-04,Taxis,27911
2013-04,Buses,17296
2013-04,Goods & other vehicles,159912
2013-04,Motorcycles,143134
2013-05,Cars,605882
2013-05,Rental cars,15257
2013-05,Taxis,27719
2013-05,Buses,17314
2013-05,Goods & other vehicles,159993
2013-05,Motorcycles,143307
2013-06,Cars,606373
2013-06,Rental cars,15392
2013-06,Taxis,27781
2013-06,Buses,17330
2013-06,Goods & other vehicles,159953
2013-06,Motorcycles,143307
2013-07,Cars,606492
2013-07,Rental cars,15469
2013-07,Taxis,27707
2013-07,Buses,17321
2013-07,Goods & other vehicles,160035
2013-07,Motorcycles,143616
2013-08,Cars,606722
2013-08,Rental cars,15706
2013-08,Taxis,27471
2013-08,Buses,17341
2013-08,Goods & other vehicles,160128
2013-08,Motorcycles,143821
2013-09,Cars,607191
2013-09,Rental cars,15825
2013-09,Taxis,27475
2013-09,Buses,17354
2013-09,Goods & other vehicles,160192
2013-09,Motorcycles,144116
2013-10,Cars,607104
2013-10,Rental cars,15996
2013-10,Taxis,27516
2013-10,Buses,17383
2013-10,Goods & other vehicles,160235
2013-10,Motorcycles,144442
2013-11,Cars,607079
2013-11,Rental cars,16144
2013-11,Taxis,27492
2013-11,Buses,17387
2013-11,Goods & other vehicles,160109
2013-11,Motorcycles,144529
2013-12,Cars,607292
2013-12,Rental cars,16396
2013-12,Taxis,27695
2013-12,Buses,17509
2013-12,Goods & other vehicles,160344
2013-12,Motorcycles,144934
2014-01,Cars,607225
2014-01,Rental cars,16604
2014-01,Taxis,27779
2014-01,Buses,17500
2014-01,Goods & other vehicles,160178
2014-01,Motorcycles,145209
2014-02,Cars,606938
2014-02,Rental cars,16726
2014-02,Taxis,27698
2014-02,Buses,17449
2014-02,Goods & other vehicles,160015
2014-02,Motorcycles,145269
2014-03,Cars,605982
2014-03,Rental cars,17008
2014-03,Taxis,27700
2014-03,Buses,17363
2014-03,Goods & other vehicles,159415
2014-03,Motorcycles,145059
2014-04,Cars,605184
2014-04,Rental cars,17164
2014-04,Taxis,27754
2014-04,Buses,17304
2014-04,Goods & other vehicles,159011
2014-04,Motorcycles,144888
2014-05,Cars,604780
2014-05,Rental cars,17327
2014-05,Taxis,27709
2014-05,Buses,17328
2014-05,Goods & other vehicles,159302
2014-05,Motorcycles,144839
2014-06,Cars,604633
2014-06,Rental cars,17458
2014-06,Taxis,27865
2014-06,Buses,17358
2014-06,Goods & other vehicles,159742
2014-06,Motorcycles,144815
2014-07,Cars,604022
2014-07,Rental cars,17583
2014-07,Taxis,27937
2014-07,Buses,17414
2014-07,Goods & other vehicles,160333
2014-07,Motorcycles,144790
2014-08,Cars,603749
2014-08,Rental cars,17786
2014-08,Taxis,27970
2014-08,Buses,17419
2014-08,Goods & other vehicles,160708
2014-08,Motorcycles,144806
2014-09,Cars,603262
2014-09,Rental cars,18009
2014-09,Taxis,28119
2014-09,Buses,17465
2014-09,Goods & other vehicles,161105
2014-09,Motorcycles,145044
2014-10,Cars,602336
2014-10,Rental cars,18186
2014-10,Taxis,28329
2014-10,Buses,17514
2014-10,Goods & other vehicles,161530
2014-10,Motorcycles,144945
2014-11,Cars,601435
2014-11,Rental cars,18488
2014-11,Taxis,28512
2014-11,Buses,17526
2014-11,Goods & other vehicles,161700
2014-11,Motorcycles,144890
2014-12,Cars,600176
2014-12,Rental cars,18847
2014-12,Taxis,28736
2014-12,Buses,17554
2014-12,Goods & other vehicles,161698
2014-12,Motorcycles,145026
2015-01,Cars,598219
2015-01,Rental cars,19060
2015-01,Taxis,28515
2015-01,Buses,17595
2015-01,Goods & other vehicles,161660
2015-01,Motorcycles,145003
2015-02,Cars,597152
2015-02,Rental cars,19400
2015-02,Taxis,28537
2015-02,Buses,17604
2015-02,Goods & other vehicles,161455
2015-02,Motorcycles,144871
2015-03,Cars,594357
2015-03,Rental cars,19665
2015-03,Taxis,28672
2015-03,Buses,17612
2015-03,Goods & other vehicles,160867
2015-03,Motorcycles,144737
2015-04,Cars,591731
2015-04,Rental cars,20219
2015-04,Taxis,28606
2015-04,Buses,17667
2015-04,Goods & other vehicles,160861
2015-04,Motorcycles,144627
2015-05,Cars,589863
2015-05,Rental cars,20838
2015-05,Taxis,28792
2015-05,Buses,17708
2015-05,Goods & other vehicles,161123
2015-05,Motorcycles,144432
2015-06,Cars,589615
2015-06,Rental cars,21949
2015-06,Taxis,28686
2015-06,Buses,17787
2015-06,Goods & other vehicles,161390
2015-06,Motorcycles,144332
2015-07,Cars,585384
2015-07,Rental cars,23163
2015-07,Taxis,28557
2015-07,Buses,17837
2015-07,Goods & other vehicles,161700
2015-07,Motorcycles,144232
2015-08,Cars,583470
2015-08,Rental cars,24573
2015-08,Taxis,28572
2015-08,Buses,17895
2015-08,Goods & other vehicles,161510
2015-08,Motorcycles,144176
2015-09,Cars,581208
2015-09,Rental cars,26013
2015-09,Taxis,28479
2015-09,Buses,17956
2015-09,Goods & other vehicles,161549
2015-09,Motorcycles,144109
2015-10,Cars,579199
2015-10,Rental cars,27097
2015-10,Taxis,28558
2015-10,Buses,17989
2015-10,Goods & other vehicles,161796
2015-10,Motorcycles,144012
2015-11,Cars,577631
2015-11,Rental cars,27988
2015-11,Taxis,28402
2015-11,Buses,18075
2015-11,Goods & other vehicles,161901
2015-11,Motorcycles,143934
2015-12,Cars,575353
2015-12,Rental cars,29369
2015-12,Taxis,28259
2015-12,Buses,18183
2015-12,Goods & other vehicles,162182
2015-12,Motorcycles,143900
2016-01,Cars,573793
2016-01,Rental cars,30433
2016-01,Taxis,28258
2016-01,Buses,18259
2016-01,Goods & other vehicles,162365
2016-01,Motorcycles,143858
2016-02,Cars,572014
2016-02,Rental cars,31257
2016-02,Taxis,28212
2016-02,Buses,18328
2016-02,Goods & other vehicles,162405
2016-02,Motorcycles,143650
2016-03,Cars,567993
2016-03,Rental cars,32545
2016-03,Taxis,28286
2016-03,Buses,18388
2016-03,Goods & other vehicles,162205
2016-03,Motorcycles,143314
2016-04,Cars,566130
2016-04,Rental cars,33997
2016-04,Taxis,28280
2016-04,Buses,18399
2016-04,Goods & other vehicles,161712
2016-04,Motorcycles,143347
2016-05,Cars,564877
2016-05,Rental cars,36002
2016-05,Taxis,28211
2016-05,Buses,18459
2016-05,Goods & other vehicles,162306
2016-05,Motorcycles,143255
2016-06,Cars,563833
2016-06,Rental cars,38353
2016-06,Taxis,28193
2016-06,Buses,18529
2016-06,Goods & other vehicles,162617
2016-06,Motorcycles,143192
2016-07,Cars,561595
2016-07,Rental cars,40604
2016-07,Taxis,28054
2016-07,Buses,18562
2016-07,Goods & other vehicles,162876
2016-07,Motorcycles,143228
2016-08,Cars,559159
2016-08,Rental cars,43462
2016-08,Taxis,27890
2016-08,Buses,18663
2016-08,Goods & other vehicles,163038
2016-08,Motorcycles,143338
2016-09,Cars,558090
2016-09,Rental cars,45917
2016-09,Taxis,27708
2016-09,Buses,18715
2016-09,Goods & other vehicles,162958
2016-09,Motorcycles,143331
2016-10,Cars,556304
2016-10,Rental cars,48150
2016-10,Taxis,27532
2016-10,Buses,18774
2016-10,Goods & other vehicles,163104
2016-10,Motorcycles,143166
2016-11,Cars,554567
2016-11,Rental cars,49785
2016-11,Taxis,27495
2016-11,Buses,18792
2016-11,Goods & other vehicles,163251
2016-11,Motorcycles,143031
2016-12,Cars,552427
2016-12,Rental cars,51336
2016-12,Taxis,27534
2016-12,Buses,18804
2016-12,Goods & other vehicles,163277
2016-12,Motorcycles,143052
2017-01,Cars,550395
2017-01,Private Hire Cars,53589
2017-01,Taxis,27202
2017-01,Buses,18805
2017-01,Goods & other vehicles,163041
2017-01,Motorcycles,142856
2017-02,Cars,548754
2017-02,Private Hire Cars,55224
2017-02,Taxis,26986
2017-02,Buses,18788
2017-02,Goods & other vehicles,162604
2017-02,Motorcycles,142914
2017-03,Cars,547024
2017-03,Private Hire Cars,58027
2017-03,Taxis,26734
2017-03,Buses,18569
2017-03,Goods & other vehicles,157524
2017-03,Motorcycles,142704
2017-04,Cars,545584
2017-04,Private Hire Cars,59753
2017-04,Taxis,26476
2017-04,Buses,18558
2017-04,Goods & other vehicles,156682
2017-04,Motorcycles,142311
2017-05,Cars,544979
2017-05,Private Hire Cars,61732
2017-05,Taxis,26172
2017-05,Buses,18589
2017-05,Goods & other vehicles,157470
2017-05,Motorcycles,142207
2017-06,Cars,545024
2017-06,Private Hire Cars,63259
2017-06,Taxis,25699
2017-06,Buses,18632
2017-06,Goods & other vehicles,158365
2017-06,Motorcycles,142118
2017-07,Cars,544638
2017-07,Private Hire Cars,64401
2017-07,Taxis,25325
2017-07,Buses,18695
2017-07,Goods & other vehicles,159006
2017-07,Motorcycles,142144
2017-08,Cars,544474
2017-08,Private Hire Cars,65603
2017-08,Taxis,24863
2017-08,Buses,18778
2017-08,Goods & other vehicles,159912
2017-08,Motorcycles,141924
2017-09,Cars,543991
2017-09,Private Hire Cars,65470
2017-09,Taxis,24468
2017-09,Buses,18827
2017-09,Goods & other vehicles,160507
2017-09,Motorcycles,141893
2017-10,Cars,544002
2017-10,Private Hire Cars,66001
2017-10,Taxis,23944
2017-10,Buses,18953
2017-10,Goods & other vehicles,160935
2017-10,Motorcycles,141707
2017-11,Cars,544708
2017-11,Private Hire Cars,66658
2017-11,Taxis,23439
2017-11,Buses,19032
2017-11,Goods & other vehicles,161406
2017-11,Motorcycles,141718
2017-12,Cars,546706
2017-12,Private Hire Cars,68083
2017-12,Taxis,23140
2017-12,Buses,19285
2017-12,Goods & other vehicles,162712
2017-12,Motorcycles,141916
2018-01,Cars,545490
2018-01,Private Hire Cars,67834
2018-01,Taxis,22891
2018-01,Buses,19262
2018-01,Goods & other vehicles,162366
2018-01,Motorcycles,141384
2018-02,Cars,545906
2018-02,Private Hire Cars,67931
2018-02,Taxis,22440
2018-02,Buses,19251
2018-02,Goods & other vehicles,162148
2018-02,Motorcycles,140864
2018-03,Cars,546170
2018-03,Private Hire Cars,68311
2018-03,Taxis,21746
2018-03,Buses,19218
2018-03,Goods & other vehicles,161837
2018-03,Motorcycles,140280
2018-04,Cars,546557
2018-04,Private Hire Cars,68496
2018-04,Taxis,21436
2018-04,Buses,19200
2018-04,Goods & other vehicles,161764
2018-04,Motorcycles,139793
2018-05,Cars,547599
2018-05,Private Hire Cars,68341
2018-05,Taxis,21237
2018-05,Buses,19225
2018-05,Goods & other vehicles,161654
2018-05,Motorcycles,138783
2018-06,Cars,551000
2018-06,Private Hire Cars,68817
2018-06,Taxis,21164
2018-06,Buses,19245
2018-06,Goods & other vehicles,161665
2018-06,Motorcycles,138047
2018-07,Cars,550043
2018-07,Private Hire Cars,67892
2018-07,Taxis,21176
2018-07,Buses,19264
2018-07,Goods & other vehicles,161317
2018-07,Motorcycles,137605
2018-08,Cars,550117
2018-08,Private Hire Cars,66998
2018-08,Taxis,21366
2018-08,Buses,19284
2018-08,Goods & other vehicles,161231
2018-08,Motorcycles,137291
2018-09,Cars,550423
2018-09,Private Hire Cars,66410
2018-09,Taxis,21279
2018-09,Buses,19290
2018-09,Goods & other vehicles,161330
2018-09,Motorcycles,137224
2018-10,Cars,551018
2018-10,Private Hire Cars,66273
2018-10,Taxis,21073
2018-10,Buses,19304
2018-10,Goods & other vehicles,161422
2018-10,Motorcycles,137016
2018-11,Cars,551407
2018-11,Private Hire Cars,66079
2018-11,Taxis,20885
2018-11,Buses,19354
2018-11,Goods & other vehicles,161406
2018-11,Motorcycles,137297
2018-12,Cars,551575
2018-12,Private Hire Cars,66480
2018-12,Taxis,20581
2018-12,Buses,19379
2018-12,Goods & other vehicles,161511
2018-12,Motorcycles,137480
2019-01,Cars,552763
2019-01,Private Hire Cars,67571
2019-01,Taxis,20375
2019-01,Buses,19427
2019-01,Goods & other vehicles,161597
2019-01,Motorcycles,137735
2019-02,Cars,552809
2019-02,Private Hire Cars,67788
2019-02,Taxis,20256
2019-02,Buses,19428
2019-02,Goods & other vehicles,161488
2019-02,Motorcycles,137815
2019-03,Cars,553412
2019-03,Private Hire Cars,68035
2019-03,Taxis,20061
2019-03,Buses,19461
2019-03,Goods & other vehicles,160987
2019-03,Motorcycles,137908
2019-04,Cars,554301
2019-04,Private Hire Cars,68896
2019-04,Taxis,19927
2019-04,Buses,19493
2019-04,Goods & other vehicles,161005
2019-04,Motorcycles,137984
2019-05,Cars,554709
2019-05,Private Hire Cars,70204
2019-05,Taxis,19751
2019-05,Buses,19501
2019-05,Goods & other vehicles,160919
2019-05,Motorcycles,138251
2019-06,Cars,555611
2019-06,Private Hire Cars,71180
2019-06,Taxis,19478
2019-06,Buses,19527
2019-06,Goods & other vehicles,160979
2019-06,Motorcycles,138772
2019-07,Cars,556155
2019-07,Private Hire Cars,72646
2019-07,Taxis,19070
2019-07,Buses,19553
2019-07,Goods & other vehicles,161033
2019-07,Motorcycles,139311
2019-08,Cars,555800
2019-08,Private Hire Cars,73788
2019-08,Taxis,18989
2019-08,Buses,19591
2019-08,Goods & other vehicles,161196
2019-08,Motorcycles,139595
2019-09,Cars,555823
2019-09,Private Hire Cars,75079
2019-09,Taxis,18772
2019-09,Buses,19598
2019-09,Goods & other vehicles,161331
2019-09,Motorcycles,139741
2019-10,Cars,555719
2019-10,Private Hire Cars,75878
2019-10,Taxis,18890
2019-10,Buses,19602
2019-10,Goods & other vehicles,161340
2019-10,Motorcycles,139815
2019-11,Cars,555870
2019-11,Private Hire Cars,76527
2019-11,Taxis,18788
2019-11,Buses,19635
2019-11,Goods & other vehicles,161291
2019-11,Motorcycles,140113
2019-12,Cars,555540
2019-12,Private Hire Cars,77141
2019-12,Taxis,18542
2019-12,Buses,19661
2019-12,Goods & other vehicles,161326
2019-12,Motorcycles,140891
2020-01,Cars,555680
2020-01,Private Hire Cars,77670
2020-01,Taxis,18528
2020-01,Buses,19699
2020-01,Goods & other vehicles,161365
2020-01,Motorcycles,140592
2020-02,Cars,556387
2020-02,Private Hire Cars,77815
2020-02,Taxis,18425
2020-02,Buses,19692
2020-02,Goods & other vehicles,161238
2020-02,Motorcycles,140648
2020-03,Cars,557101
2020-03,Private Hire Cars,77412
2020-03,Taxis,17977
2020-03,Buses,19621
2020-03,Goods & other vehicles,160923
2020-03,Motorcycles,140727
2020-04,Cars,555779
2020-04,Private Hire Cars,76312
2020-04,Taxis,17414
2020-04,Buses,19616
2020-04,Goods & other vehicles,160567
2020-04,Motorcycles,140743
2020-05,Cars,554767
2020-05,Private Hire Cars,75336
2020-05,Taxis,16378
2020-05,Buses,19597
2020-05,Goods & other vehicles,160398
2020-05,Motorcycles,140846
2020-06,Cars,553797
2020-06,Private Hire Cars,74009
2020-06,Taxis,16277
2020-06,Buses,19537
2020-06,Goods & other vehicles,160155
2020-06,Motorcycles,140524
2020-07,Cars,555987
2020-07,Private Hire Cars,73172
2020-07,Taxis,16086
2020-07,Buses,19475
2020-07,Goods & other vehicles,160268
2020-07,Motorcycles,140717
2020-08,Cars,558102
2020-08,Private Hire Cars,72679
2020-08,Taxis,16264
2020-08,Buses,19414
2020-08,Goods & other vehicles,160365
2020-08,Motorcycles,140751
